42 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma, Ge number(0-6),centroid, sigma
0,123,1.5,1,797,1.5
0,123,1.5,2,797,1.5
0,123,1.5,3,797,1.5
0,123,1.5,4,797,1.5
0,123,1.5,5,797,1.5
0,123,1.5,6,797,1.5
1,123,1.5,0,797,1.5
1,123,1.5,2,797,1.5
1,123,1.5,3,797,1.5
1,123,1.5,4,797,1.5
1,123,1.5,5,797,1.5
1,123,1.5,6,797,1.5
2,123,1.5,0,797,1.5
2,123,1.5,1,797,1.5
2,123,1.5,3,797,1.5
2,123,1.5,4,797,1.5
2,123,1.5,5,797,1.5
2,123,1.5,6,797,1.5
3,123,1.5,0,797,1.5
3,123,1.5,1,797,1.5
3,123,1.5,2,797,1.5
3,123,1.5,4,797,1.5
3,123,1.5,5,797,1.5
3,123,1.5,6,797,1.5
4,123,1.5,0,797,1.5
4,123,1.5,1,797,1.5
4,123,1.5,2,797,1.5
4,123,1.5,3,797,1.5
4,123,1.5,5,797,1.5
4,123,1.5,6,797,1.5
5,123,1.5,0,797,1.5
5,123,1.5,1,797,1.5
5,123,1.5,2,797,1.5
5,123,1.5,3,797,1.5
5,123,1.5,4,797,1.5
5,123,1.5,6,797,1.5
6,123,1.5,0,797,1.5
6,123,1.5,1,797,1.5
6,123,1.5,2,797,1.5
6,123,1.5,3,797,1.5
6,123,1.5,4,797,1.5
6,123,1.5,5,797,1.5
